ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356290.1	11.5245512560343	-2.07736831635153	12.1329069904149	4.29771382308558e-08	9.37916717617863e-07	8.61266667736482	0	0	0	0	0	461	118	106	127	1100	0	0	0	0	0	6.0515574711818	11.9769595353908	8.25783156615358	11.972062072192	52.0059757660176	Down_ovary_Up_muscle
XM_027356297.1	-2.19671899270623	1.59518592135055	-4.45245440659586	0.000790361612520325	0.00230121861766967	-0.540173132587716	1025	843	1198	679	665	257	7	10	16	18	9.80218917374515	7.25336388448501	10.2604109732522	4.82633014075295	6.26826104103946	3.3736448375135	0.71049759955708	0.779040713788074	1.50829128468561	0.851006876171198	Up_ovary_Down_muscle
XM_027356302.1	-3.38127752017832	-1.41801418512331	-4.34097734797821	0.000960986231488392	0.00269808071978065	-0.549687187064062	155	66	128	294	149	35	0	0	0	9	1.48228226529805	0.567879022984592	1.09627095540592	2.08975119496519	1.40446751145095	0.459445794992111	0	0	0	0.425503438085599	Up_ovary_Down_muscle
XM_027356308.1	-4.52337117454511	0.949930321607135	-7.02728948850552	1.38406866975113e-05	9.07553599165381e-05	3.54174591888005	1102	1235	1206	1413	1026	120	0	2	4	20	10.5385487506997	10.6262211119086	10.3289279079651	10.0436001309042	9.67103132046088	1.57524272568724	0	0.155808142757615	0.377072821171402	0.945563195745775	Up_ovary_Down_muscle
XM_027356309.1	-2.01397630154179	2.39128100703176	-4.18136330831585	0.00127466952434131	0.00340606059377512	-1.1193551720763	1510	1117	2137	1086	1144	386	9	62	26	26	14.4402981974197	9.61092225263316	18.3025861851753	7.71928502630001	10.7832941818784	5.06703076762728	0.913496913716245	4.83005242548606	2.45097333761411	1.22923215446951	Up_ovary_Down_muscle
XM_027356323.1	2.708275475249	0.191860857555958	7.42378895232709	8.03481064130794e-06	5.86187122361455e-05	4.06303238574216	67	46	36	48	66	223	26	49	38	41	0.640728463064317	0.395794470565018	0.308326206207914	0.341183868565746	0.6221131258776	2.92732606523545	2.63899108406915	3.81729949756156	3.58219180112832	1.93840455127884	Down_ovary_Up_muscle
XM_027356325.1	2.9353062675498	0.254854301941029	8.51386745734642	1.98313805776037e-06	1.93406932308926e-05	5.42246380936218	44	36	36	79	70	262	26	36	41	76	0.420776901116865	0.309752194355232	0.308326206207914	0.561531783681124	0.659816951688364	3.4392799510838	2.63899108406915	2.80454656963707	3.86499641700687	3.59314014383395	Down_ovary_Up_muscle
XM_027356329.1	-1.67033308066229	2.44672869221383	-4.24345128852722	0.00114162063178378	0.00310535652258678	-1.02552977590436	1086	1372	1403	1630	1092	507	18	45	10	63	10.3855389684753	11.8050002959827	12.0161574252695	11.5860355367118	10.2931444463385	6.65540051602858	1.82699382743249	3.50568321204633	0.942682052928506	2.97852406659919	Up_ovary_Down_muscle
XM_027356342.1	-3.34471823189315	4.08331288631114	-5.44047027966048	0.000150196300632717	0.000608179613461278	0.963778375397901	7629	9252	9108	8487	4690	2004	33	26	37	52	72.956976786831	79.6063139492946	78.0065301706022	60.325572760781	44.2077357631204	26.3065535189769	3.34948868362623	2.02550585584899	3.48792359583547	2.45846430893902	Up_ovary_Down_muscle
XM_027356345.1	-1.94669728400308	-0.00194366726518399	-3.62345951948223	0.00349485429943076	0.00790214489159993	-1.87191941850196	185	196	143	474	298	57	4	6	2	14	1.76917560696864	1.68642861371182	1.22474020799255	3.36919070208674	2.80893502290189	0.748240294701438	0.405998628318331	0.467424428272844	0.188536410585701	0.661894237022043	Up_ovary_Down_muscle
XM_027356350.1	-3.75936933780092	0.257474787672992	-4.33988725272562	0.000962832090097679	0.00270194625054036	-0.589488915963464	459	740	844	529	401	190	0	12	0	7	4.38946812756002	6.36712843952421	7.22853661220775	3.76013055148499	3.77980853752906	2.49413431567146	0	0.934848856545688	0	0.330947118511021	Up_ovary_Down_muscle
XM_027356351.1	1.80258632597574	5.00791973187581	7.41592247232815	8.12043436977482e-06	5.90724236439294e-05	3.78074530279187	1842	1873	1940	2554	1808	3540	836	1009	723	813	17.6152511785742	16.115718334093	16.6153566678709	18.1538250066024	17.0421292664652	46.4696604077735	84.8537133185312	78.6052080212166	68.1559124267309	38.4371439070658	Down_ovary_Up_muscle
XM_027356359.1	-3.08039486539226	1.98224675237311	-4.03061081197057	0.00166888418482665	0.00426252971924222	-1.26609797203975	1172	1450	1821	2945	1936	797	10	7	4	8	11.207966547931	12.4761300504191	15.596167264017	20.9330519359609	18.2486516924096	10.4622371031061	1.01499657079583	0.545328499651652	0.377072821171402	0.37822527829831	Up_ovary_Down_muscle
XM_027356372.1	-2.12597412889937	0.671776136761259	-4.62492926524364	0.000585900454076144	0.00181361358525513	-0.158987376191149	559	372	415	496	320	122	4	12	3	14	5.34577926646199	3.20077267500406	3.55431598823012	3.52556664184604	3.01630606486109	1.60149677111536	0.405998628318331	0.934848856545688	0.282804615878552	0.661894237022043	Up_ovary_Down_muscle
XM_027356379.1	-10.2712691983505	2.64533400502882	-7.40867362978479	8.20019773133372e-06	5.95917331558465e-05	4.03281635294351	20028	32090	27416	33661	35443	3201	0	0	0	0	191.529994899286	276.109664357205	234.807535261004	239.262295828991	334.084174552724	42.0195997077071	0	0	0	0	Up_ovary_Down_muscle
XM_027356386.1	3.93880861874439	1.85959917520422	6.81467581123056	1.86795173508263e-05	0.000115561240167351	3.10697242126423	55	96	72	269	108	1068	282	286	229	80	0.525971126396081	0.826005851613951	0.616652412415827	1.91205126342054	1.01800329689062	14.0196602586164	28.6229032964423	22.2805644143389	21.5874190120628	3.7822527829831	Down_ovary_Up_muscle
XM_027356391.1	2.92425515207689	4.20640723338841	9.23059633389194	8.47590274415564e-07	9.98374338961843e-06	6.13669272262009	827	471	946	871	858	1951	579	906	567	1309	7.90869311871926	4.05259120948095	8.10212752979684	6.19106561501593	8.08747063640881	25.6108213151317	58.7683014490784	70.5810886691995	53.4500724010463	61.887111161561	Down_ovary_Up_muscle
XM_027356393.1	-9.89171211953028	1.694516767002	-10.243202324857	2.77190303420668e-07	4.05286096907618e-06	7.10280812572219	10605	14060	12615	15045	8790	371	0	0	0	0	101.416796280553	120.97544035096	108.042641425356	106.939818803576	82.8541572191532	4.87012542691638	0	0	0	0	Up_ovary_Down_muscle
XM_027356399.1	13.0596955370242	-0.445476570295364	13.6143896429195	1.17742112211358e-08	3.71364961542829e-07	9.6774086310645	0	0	10	0	0	1952	782	778	1135	2355	0	0	0.0856461683910871	0	0	25.6239483378457	79.3727318362337	60.6093675327121	106.994413007385	111.340066299065	Down_ovary_Up_muscle
XM_027356419.1	5.66304044309005	-0.446926606882457	7.49135892737074	7.33781900444981e-06	5.47264409118473e-05	4.1386755093233	12	18	14	18	2	155	58	117	62	199	0.114757336668236	0.154876097177616	0.119904635747522	0.127943950712155	0.0188519129053818	2.03468852067935	5.8869801106158	9.11477635132046	5.84462872815673	9.40835379767046	Down_ovary_Up_muscle
XM_027356421.1	-4.05873174582717	-2.4300327156812	-8.31781206704463	2.52559649254331e-06	2.32901571564477e-05	5.07928197756874	107	96	65	81	98	6	0	0	0	0	1.0232529186251	0.826005851613951	0.556700094542066	0.575747778204697	0.92374373236371	0.0787621362843619	0	0	0	0	Up_ovary_Down_muscle
XM_027356425.1	-7.0977804122484	-0.115611230571469	-9.55112884327894	5.89071567967684e-07	7.55126066721818e-06	6.43573025754346	982	1298	1371	1450	1263	102	0	0	0	0	9.3909753840173	11.1682874520303	11.742089686418	10.3065960295902	11.9049829997486	1.33895631683415	0	0	0	0	Up_ovary_Down_muscle
XM_027356430.1	2.71381998712456	7.08787189898708	7.69182438637605	5.62410319827305e-06	4.44091922354202e-05	4.15764947015798	7540	7277	7509	5452	4120	11250	5293	5948	4792	6322	72.1058598732082	62.6129643978617	64.3117078448673	38.7528010712593	38.8349405850866	147.679005533179	537.237684922232	463.373416561146	451.73323976334	298.89252617524	Down_ovary_Up_muscle
XM_027356431.1	2.72947554817574	6.67753088779972	6.80961412924824	1.88146640974463e-05	0.000116245703622477	2.89889629472974	6872	6423	6594	3030	2443	9800	3886	4250	3500	4732	65.7177014653431	55.2649540095459	56.4750834370829	21.5372317032127	23.0276116139239	128.644822597791	394.427667411259	331.092303359931	329.938718524977	223.72025211345	Down_ovary_Up_muscle
XM_027356440.1	-2.44465445111234	0.05247801580597	-4.09126770889234	0.00149695281904139	0.00388405209010575	-1.03051666047863	301	264	288	417	326	154	1	2	2	14	2.87849652809492	2.27151609193837	2.46660964966331	2.96403485816492	3.07286180357724	2.02156149796529	0.101499657079583	0.155808142757615	0.188536410585701	0.661894237022043	Up_ovary_Down_muscle
XM_027356452.1	2.00658342974982	4.00458410536615	4.36502576674597	0.000921187026105742	0.00260380814351581	-1.0835683343303	804	1007	875	1087	768	1533	564	638	749	211	7.6887415567718	8.66445721432551	7.49403973422012	7.72639302356179	7.23913455566662	20.1237258206545	57.2458065928847	49.7027975396791	70.6068857643451	9.97569171511793	Down_ovary_Up_muscle
XM_027356453.1	2.04441936858598	4.02453176632856	4.23203026346279	0.00116496788643926	0.00315980328939083	-1.32526188431355	780	962	948	1056	789	1606	612	658	788	196	7.45922688343533	8.27726697138147	8.11925676347506	7.50604510844641	7.43707964117313	21.0819984787809	62.1177901327047	51.2608789672552	74.2833457707662	9.2665193183086	Down_ovary_Up_muscle
