ID	FDR
XM_027383725.1	1.78916626679775e-42
XM_027357750.1	1.94400071094122e-42
XM_027368862.1	2.4619069421229e-42
XM_027352582.1	2.61045014462982e-42
XM_027374701.1	2.67105551966357e-42
XM_027376410.1	2.92718573762153e-42
XR_003476507.1	4.16592074292192e-42
XM_027372507.1	4.33781970728921e-42
XM_027364935.1	5.1876888602724e-42
XM_027380069.1	5.25932687340152e-42
XR_003476181.1	6.09263667029747e-42
XM_027353420.1	6.75142142257249e-42
XM_027368786.1	8.71601603942431e-42
XM_027352581.1	8.9924794080914e-42
XM_027365596.1	8.9924794080914e-42
XM_027376738.1	8.9924794080914e-42
XM_027350765.1	9.30257549046396e-42
XM_027352697.1	1.03548451057345e-41
XM_027359102.1	1.0408319328075e-41
XM_027369182.1	1.07347516438724e-41
XM_027369055.1	1.08838212975787e-41
XM_027359269.1	1.14342192610229e-41
XM_027374511.1	1.25723894446916e-41
XM_027379707.1	1.33894390488888e-41
XM_027362743.1	1.39924728602736e-41
XM_027369410.1	1.41702895710167e-41
XM_027361728.1	1.65314931657846e-41
XM_027354240.1	1.66543857142077e-41
XM_027357069.1	1.73640320145552e-41
XM_027358344.1	1.94844031058105e-41
XM_027379373.1	2.59487835262562e-41
XM_027366397.1	2.69025284669932e-41
XM_027357622.1	3.04555881213383e-41
XM_027367369.1	3.06846469790501e-41
XM_027352589.1	3.10298300229958e-41
XM_027379458.1	3.48893179932309e-41
XM_027380363.1	3.96215890504088e-41
XM_027372493.1	3.97451404596786e-41
XM_027362060.1	4.08067259539142e-41
XM_027357577.1	4.45984557543922e-41
XM_027374061.1	4.82094409266388e-41
XM_027372584.1	5.16341579903654e-41
XM_027357751.1	5.41834444887266e-41
XM_027357752.1	5.56222469608079e-41
XM_027366220.1	5.6648667141873e-41
XM_027372490.1	6.53922463244462e-41
XM_027378167.1	6.68702952846932e-41
XM_027373793.1	7.21694422051635e-41
XM_027370865.1	7.68851024643728e-41
XR_003476225.1	8.43398149425828e-41
XM_027377095.1	9.02147765012119e-41
XM_027350759.1	1.0667385113293e-40
XM_027356828.1	1.21276121821263e-40
XM_027379230.1	1.32365795092142e-40
XM_027378227.1	1.43880935039256e-40
XM_027361729.1	1.68568990821314e-40
XM_027353240.1	1.8974058113598e-40
XM_027377236.1	2.00801604402433e-40
XM_027374595.1	2.13803351628737e-40
XM_027360339.1	2.23580503796283e-40
XM_027381868.1	2.27550245330934e-40
XM_027361575.1	2.46957968034294e-40
XM_027369290.1	3.10141250245804e-40
XM_027359233.1	3.20232945403421e-40
XM_027367637.1	3.36924163419699e-40
XM_027367365.1	3.93941194549141e-40
XM_027380150.1	4.30122634389351e-40
XM_027352493.1	4.77452082479521e-40
XM_027383356.1	5.00781357167475e-40
XM_027374914.1	6.05749277589415e-40
XM_027365613.1	6.37561871422769e-40
XM_027356411.1	9.07800816030771e-40
XM_027378233.1	9.11213079208718e-40
XR_003475025.1	9.48921021626643e-40
XM_027369479.1	9.76852894977421e-40
XM_027352829.1	1.0250713510723e-39
XM_027383608.1	1.10782480282032e-39
XM_027369412.1	1.14658203620911e-39
XM_027353014.1	1.21782412685319e-39
XM_027381869.1	1.37623121812371e-39
XM_027380095.1	1.37804493316223e-39
XM_027383173.1	1.42590950180927e-39
XM_027353075.1	1.53746102660865e-39
XM_027363473.1	1.5682808408274e-39
XM_027367358.1	1.62984245138579e-39
XM_027379064.1	1.68408434541403e-39
XM_027382676.1	1.71015864794608e-39
XM_027350935.1	1.85767024122266e-39
XM_027359268.1	1.95349661367366e-39
XM_027368331.1	2.01864016700632e-39
XM_027365598.1	2.21901191596679e-39
XM_027367361.1	2.22712794078318e-39
XM_027359032.1	2.24638334377577e-39
XM_027382682.1	2.31068751986967e-39
XM_027359946.1	2.6798039166569e-39
XM_027383544.1	2.82321701003629e-39
XM_027361279.1	3.00703327038961e-39
XM_027359428.1	3.35089073653075e-39
XM_027379312.1	3.50947751936139e-39
XM_027378757.1	3.96923678111232e-39
XM_027367737.1	4.01473595410541e-39
XM_027362112.1	4.42386003258248e-39
XM_027372718.1	4.54645923914874e-39
XM_027368408.1	4.69974608726367e-39
XM_027367458.1	4.77539519675738e-39
XM_027368222.1	4.90198554219191e-39
XM_027377312.1	4.91975689129324e-39
XM_027380677.1	5.70136559897405e-39
XM_027378388.1	5.87131660276001e-39
XM_027369750.1	6.71288125370936e-39
XR_003477413.1	7.11800152254323e-39
XM_027373063.1	7.82183911321048e-39
XM_027354017.1	8.78143053467886e-39
XM_027365765.1	9.77911406086602e-39
XM_027377986.1	9.86316018985427e-39
XM_027380251.1	1.04924218827082e-38
XM_027358238.1	1.14878581470578e-38
XM_027354949.1	1.35863811274302e-38
XM_027376387.1	1.54480219046754e-38
XM_027353056.1	1.68723134833009e-38
XM_027378232.1	1.68971103563477e-38
XM_027376857.1	1.75974605973828e-38
XM_027381805.1	1.87328421812393e-38
XM_027355548.1	1.87877595189262e-38
XM_027350933.1	1.96643426617198e-38
XM_027368375.1	1.99757481186134e-38
XM_027364396.1	2.46463894581025e-38
XM_027362757.1	2.68112354752212e-38
XM_027350934.1	2.85632146611499e-38
XM_027351369.1	3.05024921401603e-38
XM_027354093.1	3.15149733723028e-38
XM_027374594.1	3.25247799371541e-38
