ID	limma	DESeq2	edgeR	NOISeq
XM_027364355.1	1	1	1	1
XM_027364375.1	1	1	1	1
XM_027364388.1	1	1	1	1
XM_027364390.1	1	1	1	1
XM_027364434.1	1	1	1	1
XM_027364441.1	1	1	1	1
XM_027364471.1	1	1	1	1
XM_027364511.1	1	1	1	1
XM_027364513.1	1	1	1	1
XM_027364524.1	1	1	1	1
XM_027364565.1	1	1	1	1
XM_027364566.1	1	1	1	1
XM_027364574.1	1	1	1	1
XM_027364575.1	1	1	1	1
XM_027364599.1	1	1	1	1
XM_027364617.1	1	1	1	1
XM_027364618.1	1	1	1	1
XM_027364630.1	1	1	1	1
XM_027364634.1	1	1	1	1
XM_027364635.1	1	1	1	1
XM_027364636.1	1	1	1	1
XM_027364639.1	1	1	1	1
